channelid,last_30_views,subscriber_lifetime,views_lifetime,life_uploads,catid,category,View_range,upload_range,sub_range,last_30_eng
UC-JTELSyK21xSDnc5SYPy5A,15826,47748,6648795,94,10,Music,medium,low,medium,2
UC-Kuxa0Oix1UxtYSe_WycCA,122938,1512131,530307019,141,1,Film & Animation,high,low,high,3
UC-L522tg6pvEbO1zn1R9ZLA,435,1744,107504,152,22,People & Blogs,high,low,medium,21
UC-LPIU24bQXVljUXivKEeRQ,538629,8153389,1925415176,7542,24,Entertainment,high,medium,high,21
UC-LUjxkSJCxAMrZ4S0T3Drg,122119,1367559,139367226,103,28,Science & Technology,high,low,high,2
UC-MJwITJI9vN1tdiahnUkvA,8427,63851,2925883,163,26,Howto & Style,medium,low,medium,50
UC-Ml1gab3BPeLlz11D0jbaA,113,3618,147300,38,24,Entertainment,high,low,medium,1
UC-NemIoo1F1bf8ObCiKF6WQ,36545,195490,9871576,485,10,Music,medium,low,high,13
UC-O-sanmJtcqZ5OnT9PiGPg,768,4889,1638331,203,1,Film & Animation,medium,low,medium,3
UC-QroSKDZhsbr82KIaZTMPQ,13116,39992,2514068,28,22,People & Blogs,medium,low,medium,1
UC-SBTX4VOIalZ11uUNSrQaA,45555,84405,8368562,61,22,People & Blogs,medium,low,medium,4
UC-Tlu7W1WGjl5kaLEdtL26g,1381,15600,603427,220,28,Science & Technology,low,low,medium,12
UC-V_pPqnXuOylCCtZOwpApA,427,4957,654022,35,22,People & Blogs,low,low,medium,1
UC-WGVHAIXEwolJVTbOPT0dA,31758,297317,97963105,1015,24,Entertainment,high,medium,high,4
UC-XxPi4fl-Ed4dNjdkbCQVA,124,6414,2064362,163,22,People & Blogs,medium,low,medium,5
UC-YzTL0vw8PsCkp85rPQJCw,6187,90797,27218720,1230,26,Howto & Style,high,medium,medium,41
UC-ZB6ESR7qqxa9MeRFLxZMQ,538,18346,1984096,210,27,Education,medium,low,medium,3
UC-Zg5Bl--EAH1h5PUcjtcuQ,255,4635,1730657,194,19,Travel & Events,medium,low,medium,1
UC-aR-_VMYwCytMGM3PG2BzA,17718,56235,10778035,35,10,Music,high,low,medium,7
UC-bBSC0A8-d7vbF3axK1oag,-19335,19672,2784767,1417,25,News & Politics,medium,medium,medium,148
UC-cjt40XQAaZFBhZXNmMeAA,7715,130659,3714802,382,27,Education,medium,low,high,1
UC-d00QKl9IQKMCy5HVlbwWw,996,32308,19596936,560,10,Music,high,low,medium,1
UC-dPlXM0WxPpnK0KACG08mw,747,2796,1257997,157,22,People & Blogs,high,low,medium,2
UC-dZ26019J-8WjnvsjtFG-Q,91,1498,145093,89,19,Travel & Events,high,low,medium,5
UC-fSUpwNMFX2al7-9xdlYhA,7812,81568,7950629,315,22,People & Blogs,medium,low,medium,1
UC-fqmOYdIxk4iNFAH_ZAxKg,27,2332,288839,89,28,Science & Technology,high,low,medium,1
UC-gOo6UPas61Sln8b0u0XLQ,17169,101538,8065263,249,1,Film & Animation,medium,low,high,1
UC-gfayYgzSE_jTu-s9JEKdQ,1191,15594,4516901,81,24,Entertainment,medium,low,medium,1
UC-iUwuJelDT_dBqc9tSPUkw,45221,563936,40163078,196,20,Gaming,high,low,high,12
UC-j1Jv_8oJS9SMe0hmpW_6Q,134,3818,316023,381,28,Science & Technology,high,low,medium,10
UC1wi36loyjQepvlkZc12Hbw,187558,1442447,559164778,1008,24,Entertainment,high,medium,high,1
UC1xtLJyAFlowFMeM8MOPoRQ,711,19127,1382713,136,28,Science & Technology,medium,low,medium,1
UC1zeB-cBXwEq8Y_wo2lLkfg,7098,13456,667565,125,28,Science & Technology,low,low,medium,1
UC2-9ltNZ_XT0OLzJN1JsJbw,4156,156742,5452443,195,28,Science & Technology,medium,low,high,3
UC2-qujkPm11j1i8ASZtv2qw,6401,73237,15694002,168,24,Entertainment,high,low,medium,3
UC20JaLxJKnWpJSomw3zBSUQ,102271,546916,65023448,320,26,Howto & Style,high,low,high,48
UC20bagbJ5qLTa45OROEVHYw,49,14955,315002,119,24,Entertainment,low,low,medium,4
UC21ZKnAFLIc57Sgj0VtDK7g,2879,14133,1480353,56,22,People & Blogs,medium,low,medium,1
UC22cpNxti7TfrYzcPVsiJOA,31471,321699,77075012,4402,24,Entertainment,high,medium,high,8
UC22yEUr3cjaRJ29UMxYjKLQ,654,8977,1268186,154,24,Entertainment,medium,low,medium,2
UC23feBjAYzj3hNEdzwiqB4g,43006,1038773,78656017,148,22,People & Blogs,high,low,high,1
UC24Ubpib7DQSbxPmD2nB56Q,638,19025,2131144,73,27,Education,medium,low,medium,1
UC27pKY93SOwOyJQWzNPfnqA,12197,27006,1184581,290,25,News & Politics,medium,low,medium,27
UC28B1jflVQW3eAvFbDrlZLA,626,5205,80666,22,1,Film & Animation,low,low,medium,6
UC28UH-cXDoC69YZ0M0_pF5A,42,1460,180898,55,22,People & Blogs,high,low,medium,1
UC29XfdUjOFHl9B_416ukFOA,102758,1271925,156548483,46,23,Comedy,high,low,high,5
UC29tXx53hgars4OO5OuYMnw,1042,26938,5425585,201,20,Gaming,medium,low,medium,1
UC2AFc-uJLwmMaCj74WZzHlQ,416,13860,2982811,23,22,People & Blogs,medium,low,medium,1
UC2AtG9Ewa5o7O0wWuaDIfmA,7632,153192,21298359,97,10,Music,high,low,high,1
UC2CCDdUzUzrIhcML7GkfGxg,18292,16517,252223,35,25,News & Politics,low,low,medium,59
UC2DcE6XOD2E0PdvlWVAL8RA,59183,754465,72895918,190,27,Education,high,low,high,9
UC2DzZrrqca2Sp4gGdzekTpg,2724,85778,6375834,278,27,Education,medium,low,medium,5
UC2EYvdgX-yhzSLCL6NY6iIw,17691,85496,13395678,165,26,Howto & Style,high,low,medium,1
UC2E_AMFCPzpVvhSFaUv4aJg,704,1624,445806,3,10,Music,high,low,medium,2
UC2FGc_PvP05Ned2Q23NkYJA,29898,233693,21787200,758,22,People & Blogs,high,low,high,2
UC2FZk4yk2FHmkbqBlKMo6zw,300,5542,775953,84,10,Music,low,low,medium,1
UC2G7lJDxEnNJ_lz80KC3rmg,21056,206079,11618738,678,22,People & Blogs,high,low,high,1
UC2GSJzb4guYwms0i8-Ey4eQ,169,1479,1050772,197,20,Gaming,high,low,medium,4
UC2Gb7J3spmzxOiajsCFwmfw,18,5897,2905828,19,10,Music,medium,low,medium,1
UC2Gn053_eOsXm-RiL5icMOw,4717,103998,8098902,15,26,Howto & Style,medium,low,high,1
UC2IdQ6liLSKNCxq9CfPjEBw,50820,368255,63419275,424,26,Howto & Style,high,low,high,3
UC2JcFCoSQnxqmeMxvA49Vjg,53535,1714714,191253601,347,26,Howto & Style,high,low,high,13
UC2JtMd0l4xWgcq2aXNR8sRw,388,2802,1132870,137,22,People & Blogs,high,low,medium,9
UC2LF2avrKRy8U4y5PkpITAg,1821,27643,2686392,11,28,Science & Technology,medium,low,medium,2
UC2MjXXJl5d7Mf9rSLwKpM5w,14163,154989,24311889,118,22,People & Blogs,high,low,high,1
UC2MmSG2tD9JF9oOLkxs3cfQ,44643,733343,44061809,417,27,Education,high,low,high,5
UC2Mx2UyL340nV1VpSIgro2Q,318,6123,1938204,87,22,People & Blogs,medium,low,medium,4
UC2NZRjdjkRiJYD0ev9hK64Q,4342,14981,431252,27,28,Science & Technology,low,low,medium,2
UC2NzJuX6FTyOhoBrFj9Ms1Q,34700,694783,297673491,798,2,Autos & Vehicles,high,low,high,4
UC2O28271n_jjO155G475G6g,18397,80365,15157516,503,1,Film & Animation,high,low,medium,11
UC2P4zFOgP_gx8jDtTJpUjAA,29,5352,1100867,774,20,Gaming,medium,low,medium,6
UC2Pt8kH5jF1mv78ir-EZHMA,1254,19435,6502621,1428,25,News & Politics,medium,medium,medium,23
UC2QBCIyo_FbTlm0Rfh_6wkw,69488,2200081,278094924,326,26,Howto & Style,high,low,high,2
UC2QR351qWG2uMs0rD-Ug2fg,1669,11379,782276,48,24,Entertainment,low,low,medium,1
UC2Qp5oxZSucUO8w_ivr0KEA,6323,369814,1219891,99,22,People & Blogs,medium,low,high,1
UC2RHuCB76rHWaBYO535jgqQ,-4,2052,81888,56,27,Education,high,low,medium,1
UC2SVa87B21Oyr_Pqpa4XlRg,856,5101,446764,68,27,Education,low,low,medium,1
UC2StJftLuzfm8W8T2YYFaPA,285,7084,189041,16,22,People & Blogs,low,low,medium,4
UC2UWtuZR3kH-5C26HVMMB6A,414,2004,259888,27,22,People & Blogs,high,low,medium,6
